"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Thu Feb 22 02:25:12 UTC 2024","Thu Feb 22 02:25:23 UTC 2024","11203","","1. Log in to the Nucleus Wealth portal, create an individual account, and complete the onboarding portal","","","","5. Navigate to Build Your Portfolio from Investment Choice",""
"passed","Thu Feb 22 03:00:18 UTC 2024","Thu Feb 22 03:00:37 UTC 2024","18271","","4. Log in to the Nucleus Wealth portal, create a Joint Account and complete the onboarding portal","","","","3. Complete Investment Choice",""
"passed","Thu Feb 22 02:36:12 UTC 2024","Thu Feb 22 02:36:19 UTC 2024","7628","","3. Log in to the Nucleus Wealth portal, create an SMSF Account and complete the onboarding portal","","","","5. Complete Screen and Tilts",""
"passed","Thu Feb 22 02:33:41 UTC 2024","Thu Feb 22 02:33:41 UTC 2024","581","","2. Log in to the Nucleus Wealth portal, create a Personal Super Account and complete the onboarding portal","","","","10. Review Final Review",""
"passed","Thu Feb 22 03:09:25 UTC 2024","Thu Feb 22 03:09:30 UTC 2024","4086","","6. Company Account","","","","3. Complete Investment Choice",""
"passed","Thu Feb 22 03:53:36 UTC 2024","Thu Feb 22 03:53:38 UTC 2024","2336","","16. Nucleus Wealth Wordpress Site","","","","4. Visit Superannuation",""
"passed","Thu Feb 22 03:48:09 UTC 2024","Thu Feb 22 03:48:48 UTC 2024","38934","","13. Client Portal - Change Portfolio","","","","6. Submit Change",""
"passed","Thu Feb 22 03:57:50 UTC 2024","Thu Feb 22 03:58:04 UTC 2024","13238","","18. Check Admin header","","","","1. Log in using manager login",""
"passed","Thu Feb 22 03:47:28 UTC 2024","Thu Feb 22 03:47:38 UTC 2024","10398","","13. Client Portal - Change Portfolio","","","","1. Direct user to “Your Account(s)” page",""
"passed","Thu Feb 22 03:53:46 UTC 2024","Thu Feb 22 03:54:00 UTC 2024","13836","","16. Nucleus Wealth Wordpress Site","","","","8. Visit Member Login",""
"passed","Thu Feb 22 04:37:07 UTC 2024","Thu Feb 22 04:37:10 UTC 2024","2845","","22. Individual Onboarding for Interactive Brokers","","","","8. Check Review Page",""
